Source,Target,Type,Weight,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
"COLLINSON E, 2001, MANAGEMENT DECISION","READ S, 2009, J MARKETING",Undirected,0.286828,0.065331,0.24004,0.867078,0.286828
"LUMPKIN GT, 1996, ACAD MANAGE REV","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.286298,0.029893,0.309426,0.822733,0.286298
"LUMPKIN GT, 1996, ACAD MANAGE REV","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.284432,0.036177,0.244686,0.912561,0.284432
"COLLINSON E, 2001, MANAGEMENT DECISION","MILLER D, 1983, MANAGE SCI",Undirected,0.283946,0.0,0.256776,0.970371,0.283946
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.28291,0.148904,0.153141,0.811518,0.28291
"READ S, 2009, J MARKETING","NARVER JC, 1990, J MARKETING",Undirected,0.281488,0.08122,0.192305,0.888164,0.281488
"BJERKE B, 2002, ENTREPRENEURIAL MARK","NARVER JC, 1990, J MARKETING",Undirected,0.281039,0.020444,0.251367,0.919304,0.281039
"STOKES D, 2000, J RES MARKETING ENTR","KOHLI AK, 1990, J MARKETING",Undirected,0.281026,0.083978,0.183597,0.894886,0.281026
"MATSUNO K, 2002, J MARKETING","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.27988,0.028763,0.23094,0.930538,0.27988
"STOKES D, 2000, J RES MARKETING ENTR","NARVER JC, 1990, J MARKETING",Undirected,0.278565,0.084733,0.160162,0.92189,0.278565
"NARVER JC, 1990, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.277622,0.063597,0.235973,0.832066,0.277622
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","KOHLI AK, 1990, J MARKETING",Undirected,0.273348,0.047084,0.188713,0.930553,0.273348
"COLLINSON E, 2001, MANAGEMENT DECISION","MATSUNO K, 2002, J MARKETING",Undirected,0.273178,0.053693,0.155902,0.97225,0.273178
"STOKES D, 2000, J RES MARKETING ENTR","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.272641,0.118022,0.173097,0.794733,0.272641
"COLLINSON E, 2001, MANAGEMENT DECISION","BARNEY J, 1991, J MANAGE",Undirected,0.267516,0.0,0.209822,0.970392,0.267516
"MILLER D, 1983, MANAGE SCI","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Undirected,0.26725,0.048947,0.153846,0.956888,0.26725
"MILLER D, 1983, MANAGE SCI","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.266731,0.048652,0.240192,0.803851,0.266731
"KOHLI AK, 1990, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.266213,0.103315,0.136083,0.86046,0.266213
"LUMPKIN GT, 1996, ACAD MANAGE REV","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.265105,0.050593,0.165027,0.922891,0.265105
"NARVER JC, 1990, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.265083,0.044365,0.218539,0.843152,0.265083
"BARNEY J, 1991, J MANAGE","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.264733,0.0516,0.167578,0.914301,0.264733
"READ S, 2009, J MARKETING","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.263821,0.037505,0.182998,0.914471,0.263821
"BARNEY J, 1991, J MANAGE","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.263585,0.019351,0.278878,0.786348,0.263585
"SARASVATHY SD, 2001, ACAD MANAGE REV","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.260455,0.018237,0.23094,0.857098,0.260455
"READ S, 2009, J MARKETING","KOHLI AK, 1990, J MARKETING",Undirected,0.258657,0.089789,0.11547,0.88919,0.258657
