node_id,year,title,journal,source_title,doi,sap_rank,internal_indegree,internal_outdegree,is_top_fruit,year_score,citation_size_score,leaf_length,leaf_width,leaf_color,x,y,rotation
"CHOU WC, 2023, NTU MANAG REV",2023.0,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,10.6226/NTUMR.202308_33(2).0004,760388225,0,51,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,480.9791828511225,108.13068344953798,-83.82267018454695
"MARIN A, 2023, J MARKET EDUC",2023.0,"FROM LAB TO MARKET: LEARNING ENTREPRENEURIAL MARKETING THROUGH MULTI-SEMESTER, STAGE-GATE, CAPSTONE PROJECT IN STEM MBA",JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231185415,327538038,0,44,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,58.192304838176625,296.286993605314,147.2794878602249
"SARFRAZ M, 2023, IND TEXTILA",2023.0,THE EFFECT OF ENTREPRENEURS' PERSONALITY ON ENTREPRENEURIAL MARKETING IN TEXTILE SECTOR: THE MEDIATING ROLE OF SELF-EFFICACY,INDUSTRIA TEXTILA,IND TEXTILA,10.35530/IT.074.02.202179,218717480,0,39,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,740.1449334983263,403.52161691052,-9.057979957497306
"LI LY, 2023, SUSTAINABILITY-BASEL",2023.0,"SUSTAINABLE MICRO, SMALL, AND MEDIUM ENTERPRISES: A DEVELOPED MODEL OF ENTREPRENEURIAL MARKETING BEHAVIORS FOR THAILAND'S MSMES",SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su151713135,148084865,0,39,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,194.6859398537143,314.05905306640904,135.67614831992907
"ALKUFAHY A, 2023",2023.0,THE MODERATING ROLE OF SOCIAL MEDIA MARKETING ON THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING STRATEGY AND BUSINESS OUTCOMES: AN EMPIRICAL STUDY IN SMES IN JORDAN,JOURNAL OF SYSTEM AND MANAGEMENT SCIENCES,,10.33168/JSMS.2023.0418,64049800,0,23,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,466.8684943495346,221.9457394095329,11.45346469253775
"BASHA M, 2023",2023.0,ENTREPRENEURIAL MARKETING STRATEGY AND CUSTOMER LOYALTY: AN EMPIRICAL EVIDENCE FROM COFFEE SHOPS,CORPORATE AND BUSINESS STRATEGY REVIEW,,10.22495/CBSRV4I1ART16,41359658,0,16,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,660.115328162823,89.4999316349945,-63.88798723634312
"MAKMUR, 2023, J DISTRIB SCI",2023.0,THE EFFECT OF ENTREPRENEURIAL MARKETING ON VILLAGE-OWNED ENTERPRISES PERFORMANCE DISTRIBUTION,JOURNAL OF DISTRIBUTION SCIENCE,J DISTRIB SCI,10.15722/jds.21.09.202309.55,22953290,0,49,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,381.8572893421205,342.25896174657845,118.63767336619935
"RIBEIRO AMS, 2023, REV ELETRONICA ESTRA",2023.0,ENTREPRENEURIAL MARKETING OF STARTUPS: CONSTRUCTIVIST BIBLIOGRAPHIC RESEARCH BASED ON PROKNOW-C,REVISTA ELETRONICA DE ESTRATEGIA E NEGOCIOS-REEN,REV ELETRONICA ESTRA,,13518257,0,26,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,329.22229290134135,159.36507387641268,-106.16455895925627
"NWANKWO CA, 2023, FOUND MANAGE",2023.0,CRITICAL UNDERSTANDING OF EXISTING ENTREPRENEURIAL MARKETING MODELS: 2002 - 2022,FOUNDATIONS OF MANAGEMENT,FOUND MANAGE,10.2478/fman-2023-0007,418661,0,37,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,203.39126116308515,89.40561332313365,-149.0310955605387
"AL-TATE ADS, 2022, J ASIAN FINANC ECON",2022.0,THE IMPACT OF MARKETING CULTURE AND RATIONAL DECISION ON ACADEMIC ENTREPRENEURSHIP AND ENTREPRENEURIAL MARKETING: FIELD RESEARCH FOR IRAQI PRIVATE COLLEGES,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,J ASIAN FINANC ECON,10.13106/jafeb.2022.vol9.no4.0131,14525,0,6,False,0.42857142857142855,1.0,21.0,11.739,#99AB2D,344.9632177917126,130.85575883523688,-142.5825554110917
"ANTUNES H, 2020, INT J MARKET COMMUN",2020.0,ENTREPRENEURIAL MARKETING: CONCEPTUAL SYSTEMATIZATION IN ENGLISH AND PORTUGUESE LANGUAGES,INTERNATIONAL JOURNAL OF MARKETING COMMUNICATION AND NEW MEDIA,INT J MARKET COMMUN,,10367494,0,53,False,0.14285714285714285,1.0,21.0,11.739,#869B2D,136.09292780237118,228.03171861334008,-202.62997342494106
"HAKEMZADEH F, 2020, INT J NONLINEAR ANAL",2020.0,PROVIDING A QUANTITATIVE MODEL FOR MANAGEMENT OF ENTREPRENEURIAL MARKETING IN THE MICROELECTRONICS INDUSTRY,INTERNATIONAL JOURNAL OF NONLINEAR ANALYSIS AND APPLICATIONS,INT J NONLINEAR ANAL,10.22075/IJNAA.2020.4749,105747,0,9,False,0.14285714285714285,1.0,21.0,11.739,#869B2D,216.91441308231146,368.06423249893624,141.43560123397393
"ZAINUALDIN A, 2019",2019.0,EXAMINING ENTREPRENEURIAL MARKETING BEHAVIOURS IN SOCIAL ENTERPRISES,HUMANITIES AND SOCIAL SCIENCES REVIEWS,,10.18510/HSSR.2019.7249,142609,0,57,False,0.0,1.0,21.0,11.739,#7D932D,587.3057309327243,72.78914806655519,-59.29899367606275
"RIZVANDI A, 2019, J HUM SPORT EXERC",2019.0,ENTREPRENEURIAL MARKETING EFFECTS ON SPORT CLUB MANAGER PERFORMANCE (CONCEPTUAL MODEL),JOURNAL OF HUMAN SPORT AND EXERCISE,J HUM SPORT EXERC,10.14198/jhse.2019.14.Proc5.47,132184,0,29,False,0.0,1.0,21.0,11.739,#7D932D,791.8694626823377,271.9232424219511,9.084285424319352
