node_id,year,title,journal,source_title,doi,sap_rank,internal_indegree,internal_outdegree,is_top_fruit,year_score,citation_size_score,leaf_length,leaf_width,leaf_color,x,y,rotation
"TOLOSSA A, 2024, J INNOV ENTREPRENEURSHIP",2024.0,UNVEILING THE NEXUS: THE CRUCIAL ROLE OF COMPETITIVE ADVANTAGE IN BRIDGING ENTREPRENEURIAL MARKETING PRACTICES AND SUSTAINABLE FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,JOURNAL OF INNOVATION AND ENTREPRENEURSHIP,J INNOV ENTREPRENEURSHIP,10.1186/S13731-024-00398-0,1803313,0,42,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,33.07552830585513,198.00038185384457,56.0
"SUANDI E, 2023, J FINANC SERV MARK",2023.0,"EVALUATING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING, COMPETITIVE ADVANTAGE, AND ISLAMIC BANKS PERFORMANCE",JOURNAL OF FINANCIAL SERVICES MARKETING,J FINANC SERV MARK,10.1057/s41264-022-00169-6,3124156404,0,39,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,963.0282968018354,180.45169637042926,-27.0
"CHOU WC, 2023, NTU MANAG REV",2023.0,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,10.6226/NTUMR.202308_33(2).0004,760388225,0,51,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,910.962766072025,360.0948388716511,20.0
"MARIN A, 2023, J MARKET EDUC",2023.0,"FROM LAB TO MARKET: LEARNING ENTREPRENEURIAL MARKETING THROUGH MULTI-SEMESTER, STAGE-GATE, CAPSTONE PROJECT IN STEM MBA",JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231185415,327538038,0,44,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,231.05084242441654,164.5613735872512,-63.0
"SARFRAZ M, 2023, IND TEXTILA",2023.0,THE EFFECT OF ENTREPRENEURS' PERSONALITY ON ENTREPRENEURIAL MARKETING IN TEXTILE SECTOR: THE MEDIATING ROLE OF SELF-EFFICACY,INDUSTRIA TEXTILA,IND TEXTILA,10.35530/IT.074.02.202179,218717480,0,39,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,831.674063480345,309.48309148181386,-16.0
"LI LY, 2023, SUSTAINABILITY-BASEL",2023.0,"SUSTAINABLE MICRO, SMALL, AND MEDIUM ENTERPRISES: A DEVELOPED MODEL OF ENTREPRENEURIAL MARKETING BEHAVIORS FOR THAILAND'S MSMES",SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su151713135,148084865,0,39,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,774.1279889559459,271.5034284601857,31.0
"ALKUFAHY A, 2023",2023.0,THE MODERATING ROLE OF SOCIAL MEDIA MARKETING ON THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING STRATEGY AND BUSINESS OUTCOMES: AN EMPIRICAL STUDY IN SMES IN JORDAN,JOURNAL OF SYSTEM AND MANAGEMENT SCIENCES,,10.33168/JSMS.2023.0418,64049800,0,23,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,468.44289368747013,183.30905282269626,-52.0
"BASHA M, 2023",2023.0,ENTREPRENEURIAL MARKETING STRATEGY AND CUSTOMER LOYALTY: AN EMPIRICAL EVIDENCE FROM COFFEE SHOPS,CORPORATE AND BUSINESS STRATEGY REVIEW,,10.22495/CBSRV4I1ART16,41359658,0,16,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,596.8769566488053,323.0503141935176,-5.0
"MAKMUR, 2023, J DISTRIB SCI",2023.0,THE EFFECT OF ENTREPRENEURIAL MARKETING ON VILLAGE-OWNED ENTERPRISES PERFORMANCE DISTRIBUTION,JOURNAL OF DISTRIBUTION SCIENCE,J DISTRIB SCI,10.15722/jds.21.09.202309.55,22953290,0,49,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,914.6135529246984,178.5274661379218,42.0
"RIBEIRO AMS, 2023, REV ELETRONICA ESTRA",2023.0,ENTREPRENEURIAL MARKETING OF STARTUPS: CONSTRUCTIVIST BIBLIOGRAPHIC RESEARCH BASED ON PROKNOW-C,REVISTA ELETRONICA DE ESTRATEGIA E NEGOCIOS-REEN,REV ELETRONICA ESTRA,,13518257,0,26,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,482.9101460806621,316.93181596516644,-41.0
"NWANKWO CA, 2023, FOUND MANAGE",2023.0,CRITICAL UNDERSTANDING OF EXISTING ENTREPRENEURIAL MARKETING MODELS: 2002 - 2022,FOUNDATIONS OF MANAGEMENT,FOUND MANAGE,10.2478/fman-2023-0007,418661,0,37,False,0.5714285714285714,1.0,34.0,14.62,#A2B42D,333.9657117944542,279.6074230026133,6.0
"AL-TATE ADS, 2022, J ASIAN FINANC ECON",2022.0,THE IMPACT OF MARKETING CULTURE AND RATIONAL DECISION ON ACADEMIC ENTREPRENEURSHIP AND ENTREPRENEURIAL MARKETING: FIELD RESEARCH FOR IRAQI PRIVATE COLLEGES,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,J ASIAN FINANC ECON,10.13106/jafeb.2022.vol9.no4.0131,14525,0,6,False,0.42857142857142855,1.0,34.0,14.62,#99AB2D,313.1526180234589,388.56497633705396,-30.0
"ANTUNES H, 2020, INT J MARKET COMMUN",2020.0,ENTREPRENEURIAL MARKETING: CONCEPTUAL SYSTEMATIZATION IN ENGLISH AND PORTUGUESE LANGUAGES,INTERNATIONAL JOURNAL OF MARKETING COMMUNICATION AND NEW MEDIA,INT J MARKET COMMUN,,10367494,0,53,False,0.14285714285714285,1.0,34.0,14.62,#869B2D,372.9525196792196,126.99070404423529,17.0
"HAKEMZADEH F, 2020, INT J NONLINEAR ANAL",2020.0,PROVIDING A QUANTITATIVE MODEL FOR MANAGEMENT OF ENTREPRENEURIAL MARKETING IN THE MICROELECTRONICS INDUSTRY,INTERNATIONAL JOURNAL OF NONLINEAR ANALYSIS AND APPLICATIONS,INT J NONLINEAR ANAL,10.22075/IJNAA.2020.4749,105747,0,9,False,0.14285714285714285,1.0,34.0,14.62,#869B2D,1296.8407588000048,240.30528654476058,64.0
"ZAINUALDIN A, 2019",2019.0,EXAMINING ENTREPRENEURIAL MARKETING BEHAVIOURS IN SOCIAL ENTERPRISES,HUMANITIES AND SOCIAL SCIENCES REVIEWS,,10.18510/HSSR.2019.7249,142609,0,57,False,0.0,1.0,34.0,14.62,#7D932D,71.41155965469682,423.4934000847298,-19.0
"RIZVANDI A, 2019, J HUM SPORT EXERC",2019.0,ENTREPRENEURIAL MARKETING EFFECTS ON SPORT CLUB MANAGER PERFORMANCE (CONCEPTUAL MODEL),JOURNAL OF HUMAN SPORT AND EXERCISE,J HUM SPORT EXERC,10.14198/jhse.2019.14.Proc5.47,132184,0,29,False,0.0,1.0,34.0,14.62,#7D932D,554.3037203855964,-18.956541193048565,28.0
"KAKEESH DF, 2025, J MARK ANAL",2025.0,ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE IN SMES: THE MEDIATING ROLE OF COMPETITIVE AGGRESSIVENESS,JOURNAL OF MARKETING ANALYTICS,J MARK ANAL,10.1057/s41270-024-00310-5,690118043,0,52,True,0.8571428571428571,1.0,34.0,14.62,#B5C42D,573.3307199045139,121.13766746843058,4.0
"SULAIMAN MABA, 2024, DISCOV SUSTAIN",2024.0,ENTREPRENEURIAL MARKETING AND PERFORMANCE: CONTINGENT ROLE OF MARKET TURBULENCE,DISCOVER SUSTAINABILITY,DISCOV SUSTAIN,10.1007/s43621-024-00710-8,10757871610,0,49,True,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,1078.3289106410923,175.243121720641,-24.0
"HANAYSHA JR, 2022, SUSTAINABILITY-BASEL",2022.0,AN EXAMINATION OF ENTREPRENEURIAL MARKETING DIMENSIONS AND FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su141811444,23852561,0,85,True,0.42857142857142855,1.0,34.0,14.62,#99AB2D,1143.9444901662198,121.89809685162075,53.0
