SR,year,title,journal,source_title,doi,baseline_ToS,in_current_graph,cited_by,internal_indegree,years_since_publication,external_citation_velocity,external_citation_score,internal_citation_score,external_attention_gap_raw,external_attention_gap_score,field_distance,direct_field_neighbor_count,network_proximity_score,text_relevance_raw,text_relevance_score,fruit_score,fruit_signal_type
"YANG M, 2025, INT BUS REV",2025.0,TURNING DECISION-MAKING LOGIC INTO INTERNATIONAL PERFORMANCE AMONG SMES: REVEALING THE IMPORTANCE OF INTERNATIONAL ENTREPRENEURIAL MARKETING,INTERNATIONAL BUSINESS REVIEW,INT BUS REV,10.1016/j.ibusrev.2025.102457,leaf,True,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,9,0.5857226509206714,0.23340348263121402,0.4133270602454201,0.2686627359475639,fruit_candidate
"CAPELI CMD, 2025, J SMALL BUS ENTERP D",2025.0,THE MUTUAL INFLUENCE BETWEEN ENTREPRENEURIAL MARKETING AND CAUSAL AND EFFECTUAL ENTREPRENEURSHIP: AN EMPIRICAL STUDY IN AN EMERGING AND DEVELOPING ECONOMY,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,J SMALL BUS ENTERP D,10.1108/JSBED-04-2024-0197,leaf,True,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,10,0.5965146615238486,0.1958977805620276,0.3297142140838487,0.2624598534520422,fruit_candidate
"RUDELOFF C, 2023",2023.0,DOES IT PAY TO POLARISE? THE IMPACT OF BRAND ACTIVISM ON BRAND PERCEPTIONS AND PURCHASE INTENTIONS IN ENTREPRENEURIAL MARKETING,JOURNAL OF DIGITAL AND SOCIAL MEDIA MARKETING,,,,False,5.0,0.0,4.0,1.25,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,,0,0.0,0.07775152370593089,0.06632640225589105,0.26225839475110024,external_signal_not_matched_in_graph
"HASANAH Y, 2025, RNA",2025.0,ENTREPRENEURIAL MARKETING AND MARKETING PERFORMANCE IN GEN Z ENTREPRENEURS: EXPLORING THE MEDIATING PATHWAYS TO ENTREPRENEURIAL RESILIENCE,JOURNAL OF ECOHUMANISM,RNA,10.62754/JOE.V4I1.6195,,False,3.0,0.0,2.0,1.5,0.3023564218435529,0.0,0.3023564218435529,0.3443908675881962,,0,0.0,0.14451893233837118,0.21517345106710406,0.2548593526215994,external_signal_not_matched_in_graph
"GOYAL A, 2025, TOUR HOSP MANAG-CROA",2025.0,INFLUENCE OF ENTREPRENEURIAL MARKETING ON HOTEL INDUSTRY PERFORMANCE: A MEDIATION ANALYSIS,TOURISM AND HOSPITALITY MANAGEMENT-CROATIA,TOUR HOSP MANAG-CROA,10.20867/thm.31.3.6,leaf,True,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,10,0.5965146615238486,0.15451900256810172,0.2374669767870322,0.25323512972236056,fruit_candidate
"ISTREFI A, 2025, INT J TECHNOL ENHANC",2025.0,THE ROLE OF ENTREPRENEURIAL MARKETING AND DIGITAL TRANSFORMATION ON WOMEN'S ENTREPRENEURIAL INTENTIONS IN KOSOVO,INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING,INT J TECHNOL ENHANC,10.1504/IJTEL.2025.145315,leaf,True,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,3,0.4819706769523028,0.231461915757142,0.40899865353929526,0.2474795004832777,fruit_candidate
"FILLIS I, 2023, J RES MARK ENTREP",2023.0,ASSESSING THE NOTION OF ART AS A PRODUCT: ENTREPRENEURIAL MARKETING INSIGHTS FROM THE VISUAL ARTS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-09-2020-0132,,True,8.0,4.0,4.0,2.0,0.47922359047425844,0.5804820237218405,0.0,0.0,1.0,2,0.4493963183411073,0.1121477877046199,0.1430072633406911,0.23943093042351452,fruit_candidate
"JONES R, 2023, J MARKET EDUC",2023.0,POST-PANDEMIC MARKETING: USE OF BUSINESS CRISIS RECOVERY FRAMEWORKS TO ENHANCE ENTREPRENEURIAL MARKETING EDUCATION,JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231190249,,True,6.0,3.0,4.0,1.5,0.42441089453911174,0.5,0.0,0.0,1.0,4,0.50723731244452,0.15030127271637927,0.2280642359293196,0.2370590899408563,fruit_candidate
"MAKMUR, 2023, J DISTRIB SCI",2023.0,THE EFFECT OF ENTREPRENEURIAL MARKETING ON VILLAGE-OWNED ENTERPRISES PERFORMANCE DISTRIBUTION,JOURNAL OF DISTRIBUTION SCIENCE,J DISTRIB SCI,10.15722/jds.21.09.202309.55,leaf,True,1.0,0.0,4.0,0.25,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,12,0.615430263788898,0.13974508180029965,0.20453092983388488,0.2312789089178521,fruit_candidate
"MIRZAYI S, 2025",2025.0,HOW GENERATIVE AI IS RESHAPING ENTREPRENEURIAL MARKETING,JOURNAL OF MARKETING THEORY AND PRACTICE,,10.1080/10696679.2025.2571634,leaf,True,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,6,0.5453362012803806,0.10003369257467325,0.11600086387059466,0.2308528263820232,fruit_candidate
"ZAID S, 2022, J E EUR CENT ASIAN R",2022.0,"THE MARKET TURBULENCE, ENTREPRENEURIAL MARKETING AND MARKETING PERFORMANCE: AN EMPIRICAL STUDY OF TUNA FILLETS SME'S INDUSTRY IN SOUTHEAST SULAWESI, INDONESIA",JOURNAL OF EASTERN EUROPEAN AND CENTRAL ASIAN RESEARCH,J E EUR CENT ASIAN R,10.15549/jeecar.v9i6.970,,True,6.0,2.0,5.0,1.2,0.42441089453911174,0.3962406251802891,0.028170269358822664,0.03208657995595003,1.0,4,0.50723731244452,0.1404179281620553,0.20603093106655263,0.23034840513069665,fruit_candidate
"NEILL S, 2025, J RES MARK ENTREP",2025.0,THE INTEGRATION OF ENTREPRENEURIAL MARKETING PROCESSES AND CONTROLS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-06-2024-0138,leaf,True,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,5,0.5278816568172586,0.09412774409732792,0.1028345149094818,0.2260452825932875,fruit_candidate
"ENTSMINGER JS, 2024, J RES MARK ENTREP",2024.0,"ENTREPRENEURIAL MARKETING STRATEGIES, RESOURCES AND SOCIAL DISADVANTAGE: EXPLORING THE ROLE OF RESOURCES AND MINORITY STATUS AMONG US AGROFOOD ENTERPRISES",JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2023-0033,leaf,True,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,5,0.5278816568172586,0.1551421780736583,0.23885624494635482,0.22514710228533902,fruit_candidate
"TAGHIPOURIAN M, 2021",2021.0,USAGE THE LAZY LEARNING META-HEURISTIC TECHNIQUE FOR PREDICTING ENTREPRENEURIAL MARKETING IN THE INSURANCE INDUSTRY,JOURNAL OF APPLIED RESEARCH ON INDUSTRIAL ENGINEERING,,10.22105/JARIE.2021.277767.1277,,False,4.0,0.0,6.0,0.6666666666666666,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,,0,0.0,0.14452060016300566,0.21517716921013016,0.22434471830732172,external_signal_not_matched_in_graph
"GHAHRAMANI S, 2022, TRANSNATL MARK J",2022.0,EXPLORATORY ANALYSIS OF ENTREPRENEURIAL MARKETING STRATEGIES THROUGH COOPETITION IN SMALL AND MEDIUM-SIZED ENTERPRISES (SMES) (CASE STUDY: KNOWLEDGE-BASED COMPANIES OF TEHRAN PROVINCE),TRANSNATIONAL MARKETING JOURNAL,TRANSNATL MARK J,10.33182/TMJ.V10I3.2390,,False,3.0,0.0,5.0,0.6,0.3023564218435529,0.0,0.3023564218435529,0.3443908675881962,,0,0.0,0.2038048244653639,0.3473416789494008,0.2131334527123298,external_signal_not_matched_in_graph
"SARMA M, 2022, SUSTAINABILITY-BASEL",2022.0,THE ROLE OF ENTREPRENEURIAL MARKETING IN THE INDONESIAN AGRO-BASED INDUSTRY CLUSTER TO FACE THE ASEAN ECONOMIC COMMUNITY,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su14106163,,True,4.0,1.0,5.0,0.8,0.3510249352740802,0.25,0.10102493527408019,0.11506970778045575,1.0,2,0.4493963183411073,0.09541548380820111,0.10570532058438332,0.21308702792297612,fruit_candidate
"AL-TATE ADS, 2022, J ASIAN FINANC ECON",2022.0,THE IMPACT OF MARKETING CULTURE AND RATIONAL DECISION ON ACADEMIC ENTREPRENEURSHIP AND ENTREPRENEURIAL MARKETING: FIELD RESEARCH FOR IRAQI PRIVATE COLLEGES,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,J ASIAN FINANC ECON,10.13106/jafeb.2022.vol9.no4.0131,leaf,True,1.0,0.0,5.0,0.2,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,1.0,2,0.4493963183411073,0.18627607577189648,0.30826419240593855,0.20341982129895328,fruit_candidate
"ISTREFI A, 2024, INT J TECHNOENTREPRENEURSHIP",2024.0,DIGITAL DYNAMICS: A COMPREHENSIVE ANALYSIS OF ENTREPRENEURIAL MARKETING'S INFLUENCE ON WOMEN'S ENTREPRENEURIAL INTENTIONS IN KOSOVO AND ALBANIA,INTERNATIONAL JOURNAL OF TECHNOENTREPRENEURSHIP,INT J TECHNOENTREPRENEURSHIP,10.1504/IJTE.2024.142859,,False,2.0,0.0,3.0,0.6666666666666666,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,,0,0.0,0.23551962003926122,0.4180446434872803,0.20021572717246544,external_signal_not_matched_in_graph
"PITJATTURAT P, 2021, J DISTRIBUTION SCIENCE",2021.0,ROLE OF ENTREPRENEURIAL MARKETING ORIENTATION ON NEW PRODUCT DEVELOPMENT PERFORMANCE OF FOOD RETAILERS: MICHELIN GUIDE RESTAURANTS IN THAILAND,JOURNAL OF DISTRIBUTION SCIENCE,J DISTRIBUTION SCIENCE,10.15722/JDS.19.8.202108.69,,False,3.0,0.0,6.0,0.5,0.3023564218435529,0.0,0.3023564218435529,0.3443908675881962,,0,0.0,0.17199583446125286,0.2764287232910189,0.1980967738959238,external_signal_not_matched_in_graph
"NUVRIASARI A, 2022, QUAL-ACCESS SUCCESS",2022.0,THE EFFECT OF MARKET ORIENTATION TOWARDS SMALL AND MEDIUM ENTERPRISES BATIK ENTREPRENEURIAL MARKETING: A CASE STUDY IN INDONESIA,QUALITY-ACCESS TO SUCCESS,QUAL-ACCESS SUCCESS,10.47750/QAS/23.188.16,,True,2.0,1.0,5.0,0.4,0.23961179523712922,0.25,0.0,0.0,1.0,8,0.5737926366822146,0.15957014013262327,0.24872766422448342,0.18105463017889709,fruit_candidate
"HANAYSHA J, 2024",2024.0,AN EXPLORATION OF ENTREPRENEURIAL MARKETING DIMENSIONS AND COMPETITIVE ADVANTAGE IN SMALL AND MEDIUM ENTERPRISES,BUSINESS PERSPECTIVES AND RESEARCH,,10.1177/22785337241255815,,True,1.0,1.0,3.0,0.3333333333333333,0.15117821092177644,0.25,0.0,0.0,1.0,4,0.50723731244452,0.24389013926713418,0.4367053510032082,0.18053474218854226,fruit_candidate
"CHOU WC, 2023, NTU MANAG REV",2023.0,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,10.6226/NTUMR.202308_33(2).0004,leaf,True,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,19,0.6642079893968228,0.23677430942696298,0.42084176885666924,0.17492577476503152,recent_no_external_signal
"ARSHI TA, 2023, HELIYON",2023.0,CAN ENTREPRENEURIAL MARKETING COMPENSATE FOR LATE MARKET ENTRY? A MODERATED MEDIATION ANALYSIS,HELIYON,HELIYON,10.1016/j.heliyon.2023.e15808,,True,3.0,1.0,4.0,0.75,0.3023564218435529,0.25,0.05235642184355288,0.059635159830818844,2.0,0,0.21666666666666667,0.16654885671327696,0.2642855747199864,0.15952889451487404,fruit_candidate
"HANOUN D, 2024",2024.0,THE MODERATING ROLE OF TECHNOLOGICAL TURBULENCE IN THE EFFECT OF ENTREPRENEURIAL MARKETING ON SMES' PERFORMANCE,WSEAS TRANSACTIONS ON BUSINESS AND ECONOMICS,,10.37394/23207.2024.21.214,leaf,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0.5453362012803806,0.2658990322306419,0.4857705885542774,0.1576442991115039,recent_no_external_signal
"MANIGANDAN R, 2024",2024.0,A DIGITAL TRANSFORMATION IN ACTION: ASSESSING THE IMPACT OF INFORMATION SYSTEM CAPABILITIES ON FIRM PERFORMANCE THROUGH THE LENS OF INNOVATION AND BUSINESS PROCESS PERFORMANCE AND MODERATING ROLE OF ENTREPRENEURIAL MARKETING IN INDIAN SMES,ASIA PACIFIC JOURNAL OF INFORMATION SYSTEMS,,10.14329/APJIS.2024.34.3.837,,False,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.3086071264172688,0.5809813195117475,0.15378327837842654,external_signal_not_matched_in_graph
"YADAV A, 2024, J ORGAN CHANGE MANAG",2024.0,DEVELOPING AND VALIDATING A SCALE FOR ENTREPRENEURIAL MARKETING ORIENTATIONS: EMICO FRAMEWORK AND ITS IMPACT ON BUSINESS PERFORMANCE IN STARTUPS,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,J ORGAN CHANGE MANAG,10.1108/JOCM-11-2023-0461,leaf,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9,0.5857226509206714,0.18966450577801713,0.3158181445038992,0.14872634463452425,recent_no_external_signal
"MANIGANDAN R, 2024, INT J INF SYST CHANGE MANGE",2024.0,IMPACT OF DIGITAL TECHNOLOGIES ADOPTION ON FIRM PERFORMANCE: THE MEDIATING ROLE OF SOCIAL VALUE CREATION AND THE MODERATING ROLE OF ENTREPRENEURIAL MARKETING IN INDIAN SMES,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND CHANGE MANAGEMENT,INT J INF SYST CHANGE MANGE,10.1504/IJISCM.2024.140621,,False,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.2739834095307458,0.5037933893075803,0.1460644853580098,external_signal_not_matched_in_graph
"CORREA V, 2025",2025.0,THE INFLUENCE OF CAUSAL AND EFFECTUAL ENTREPRENEURSHIP ON THE DIMENSIONS OF ENTREPRENEURIAL MARKETING: AN EXPLORATORY STUDY OF WOMEN ENTREPRENEURS IN BRAZIL,INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,,10.1108/IJGE-04-2025-0140,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.4493963183411073,0.2927093100115755,0.5455397305239701,0.1444332367206185,recent_no_external_signal
"DHAMERIA V, 2021, UNCERTAIN SUPPLY CHAIN MANAGEMENT",2021.0,"NETWORKING CAPABILITY, ENTREPRENEURIAL MARKETING, COMPETITIVE ADVANTAGE, AND MARKETING PERFORMANCE",UNCERTAIN SUPPLY CHAIN MANAGEMENT,UNCERTAIN SUPPLY CHAIN MANAGEMENT,10.5267/J.USCM.2021.7.007,,True,0.0,4.0,6.0,0.0,0.0,0.5804820237218405,0.0,0.0,1.0,1,0.4034853384761514,0.3302872705328549,0.6293136651202434,0.14362843420725466,recent_no_external_signal
"LU H, 2025",2025.0,EXPLORE THE IMPORTANCE OF COMPETITIVE STRATEGY TO ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE,JOURNAL OF THE INTERNATIONAL COUNCIL FOR SMALL BUSINESS,,10.1080/26437015.2025.2513961,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0.5453362012803806,0.18004273989176672,0.29436798662215496,0.13850403891829163,recent_no_external_signal
"QUINTERO-ARANGO LF, 2024, CLIO AM",2024.0,ENTREPRENEURIAL MARKETING IN ACTION: MULTIDIMENSIONAL IMPACT AND SECTORAL APPLICATIONS,CLIO AMERICA,CLIO AM,10.21676/23897848.5683,leaf,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,15,0.6389413539046056,0.09099737331338115,0.09585586376187785,0.13737385715710893,recent_no_external_signal
"SANTOSO B, 2025, QUAL ACCESS SUCCESS",2025.0,DO SOCIAL MEDIA-BASED LEAD GENERATION CAPABILITIES? THE IMPACT OF ENTREPRENEURIAL MARKETING AND KNOWLEDGE TO PERFORMANCE SMES OF THE CULINARY SECTOR IN EAST JAVA,QUALITY - ACCESS TO SUCCESS,QUAL ACCESS SUCCESS,10.47750/QAS/26.207.19,,False,1.0,0.0,2.0,0.5,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.1648984925057244,0.26060635686820205,0.1362461354257078,external_signal_not_matched_in_graph
"ABAIDAH TNABT, 2024, UCJC BUS SOC REV",2024.0,THE MODEL OF ENTREPRENEURIAL MARKETING (EM) AMONG AGROPRENEURS IN THE EMERGING MARKETS: A CONCEPTUAL FRAMEWORK,UCJC BUSINESS AND SOCIETY REVIEW,UCJC BUS SOC REV,10.3232/UBR.2024.V21.N1.05,leaf,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.5604560154284541,0.12768567749455578,0.17764645463711845,0.12985584854940269,recent_no_external_signal
"LOPEZ-CASTRO I, 2023, J MARKET EDUC",2023.0,HEURISTICS AND THE CHOICE OF METHOD IN ENTREPRENEURIAL MARKETING EDUCATION,JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231190886,,True,1.0,1.0,4.0,0.25,0.15117821092177644,0.25,0.0,0.0,1.0,2,0.4493963183411073,0.10113465125965435,0.11845527170937499,0.12919615218790864,fruit_candidate
"PUTRI MK, 2023, ETIKONOMI",2023.0,ENTREPRENEURIAL MARKETING IMPACT SCORE ON MSME PERFORMANCES THROUGH ITS DIMENSION,ETIKONOMI,ETIKONOMI,10.15408/etk.v22i1.25617,,True,1.0,1.0,4.0,0.25,0.15117821092177644,0.25,0.0,0.0,1.0,2,0.4493963183411073,0.09063163984830269,0.09504052064697407,0.12685467708166853,fruit_candidate
"HASSAN H, 2024",2024.0,"INNOVATION, RISK MANAGEMENT, AND PROACTIVE BEHAVIOR: AN INSIGHT INTO THE ASPECTS OF ENTREPRENEURIAL MARKETING IN SMES",EDELWEISS APPLIED SCIENCE AND TECHNOLOGY,,10.55214/25768484.V8I6.2821,,False,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.15392074331848501,0.23613325535687038,0.11929847196293882,external_signal_not_matched_in_graph
"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",2023.0,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,10.1016/J.WDS.2022.100039,,True,0.0,5.0,4.0,0.0,0.0,0.646240625180289,0.0,0.0,2.0,0,0.21666666666666667,0.3880718987026586,0.7581350698429896,0.11914684031763231,recent_no_external_signal
"MANDASARIA I, 2024, INT J  DATA  NETW  SCI",2024.0,THE ROLE OF LIVE-STREAMING COMMERCE IN MODERATING THE INFLUENCE OF ENTREPRENEURIAL MARKETING AND E-COMMERCE ADOPTION ON THE BUSINESS PERFORMANCE OF FASHION SMES,INTERNATIONAL JOURNAL OF DATA AND NETWORK SCIENCE,INT J  DATA  NETW  SCI,10.5267/J.IJDNS.2024.6.021,,False,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.1454233884099284,0.2171897883758021,0.11740412526483199,external_signal_not_matched_in_graph
"SARABDEEN J, 2025",2025.0,SAUDI ARABIAN LEGAL FRAMEWORK ON THE USE OF SOCIAL MEDIA IN ENTREPRENEURIAL MARKETING,SOCIAL SCIENCES AND HUMANITIES OPEN,,10.1016/J.SSAHO.2025.102242,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.4819706769523028,0.13234686281143765,0.1880378071336556,0.11519791610382614,recent_no_external_signal
"DALECKI L, 2024",2024.0,"CS/D&CB AT THE CONFLUENCE OF ENTREPRENEURIAL MARKETING, SOCIAL ENTREPRENEURSHIP, COMMERCIAL ENTREPRENEURSHIP AND PSYCHOSOCIAL CONSUMER BEHAVIOR","JOURNAL OF CONSUMER SATISFACTION, DISSATISFACTION AND COMPLAINING BEHAVIOR",,,,False,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.12858111340456366,0.17964268296669145,0.11364941472392093,external_signal_not_matched_in_graph
"RIBEIRO AMS, 2023, REV ELETRONICA ESTRA",2023.0,ENTREPRENEURIAL MARKETING OF STARTUPS: CONSTRUCTIVIST BIBLIOGRAPHIC RESEARCH BASED ON PROKNOW-C,REVISTA ELETRONICA DE ESTRATEGIA E NEGOCIOS-REEN,REV ELETRONICA ESTRA,,leaf,True,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.5604560154284541,0.05497602723959891,0.015552147216485585,0.1136464178073394,recent_no_external_signal
"SALIH ES, 2024, J DEV ENTREP",2024.0,EXPLORING THE IMPACT OF ENTREPRENEURIAL MARKETING ON SHARED VALUE CREATION: THE MEDIATING ROLE OF ORGANIZATIONAL AMBIDEXTERITY,JOURNAL OF DEVELOPMENTAL ENTREPRENEURSHIP,J DEV ENTREP,10.1142/S1084946724500249,leaf,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.4493963183411073,0.14887468874848386,0.22488389962674438,0.11236765363089592,recent_no_external_signal
"RAHIMI A, 2026, J HOSP LEIS SPORT TO",2026.0,ENTREPRENEURIAL MARKETING EDUCATION AND INTENTIONS IN SPORT: INVESTIGATING THE MODERATING EFFECT OF SPORTING CAPITAL,JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,J HOSP LEIS SPORT TO,10.1016/j.jhlste.2026.100598,leaf,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.5604560154284541,0.04799989585769986,0.0,0.11209120308569084,recent_no_external_signal
"ROBLEDO S, 2025, J RES MARK ENTREP",2025.0,EXAMINING THE ROLE OF MONETARY INCENTIVES AND TIE STRENGTH IN MEDIATING SATISFACTION AND WORD OF MOUTH IN MULTILEVEL MARKETING COMPANIES: AN ENTREPRENEURIAL MARKETING PERSPECTIVE,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-07-2023-0117,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.4493963183411073,0.14253249313142344,0.21074500881281838,0.11095376454950331,recent_no_external_signal
"SALQAURA S, 2024",2024.0,DEVELOPING AND VALIDATING A RELIGIOSITY ENTREPRENEURIAL MARKETING MODEL FOR SOCIAL BUSINESSES,"JOURNAL OF LOGISTICS, INFORMATICS AND SERVICE SCIENCE",,10.33168/JLISS.2024.0509,,False,1.0,0.0,3.0,0.3333333333333333,0.15117821092177644,0.0,0.15117821092177644,0.1721954337940981,,0,0.0,0.1120920696435481,0.14288304901028814,0.1099734513282806,external_signal_not_matched_in_graph
"BOOPATHI M, 2025",2025.0,ENTREPRENEURIAL MARKETING: ANALYZING THE EFFECTS OF SOCIAL MEDIA MARKETING ON BUSINESS ENTERPRISE PERFORMANCE,JOURNAL OF MARKETING COMMUNICATIONS,,10.1080/13527266.2025.2590533,,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.4493963183411073,0.12541664021055451,0.1725880060574307,0.10713806427396455,recent_no_external_signal
"NWANKWO CA, 2024, FOUND MANAGE",2024.0,ACHIEVING SURVIVAL OF SOCIAL ENTERPRISE THROUGH ENTREPRENEURIAL MARKETING: AN EMPIRICAL ANALYSIS OF NIGERIA,FOUNDATIONS OF MANAGEMENT,FOUND MANAGE,10.2478/fman-2024-0016,leaf,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.4819706769523028,0.08789361426863827,0.08893653914686468,0.10528778930514704,recent_no_external_signal
"SAIYED AA, 2023, J RES MARK ENTREP",2023.0,ENTREPRENEURIAL MARKETING STRATEGY IN CRAFT-BASED BUSINESSES IN AN EMERGING MARKET: A QUALITATIVE INTERPRETIVIST APPROACH,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-04-2022-0058,,True,0.0,2.0,4.0,0.0,0.0,0.3962406251802891,0.0,0.0,1.0,1,0.4034853384761514,0.14586925624514507,0.2181837780002489,0.1025154454952552,recent_no_external_signal
"SAXENA G, 2025",2025.0,IDENTITY WORK AND ENTREPRENEURIAL MARKETING AMONG WOMEN ENTREPRENEURS IN VIETNAM: A POSTCOLONIAL FEMINIST PERSPECTIVE,"GENDER, WORK AND ORGANIZATION",,10.1111/GWAO.70087,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.4493963183411073,0.07782385142938314,0.06648764511979144,0.09652802818020062,recent_no_external_signal
"GUEROLA-NAVARRO V, 2024, INT ENTREP MANAG J",2024.0,CUSTOMER RELATIONSHIP MANAGEMENT AND ITS IMPACT ON ENTREPRENEURIAL MARKETING: A LITERATURE REVIEW,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,INT ENTREP MANAG J,10.1007/S11365-022-00800-X,,True,0.0,4.0,3.0,0.0,0.0,0.5804820237218405,0.0,0.0,2.0,0,0.21666666666666667,0.21038223807482065,0.36200494991694687,0.07953382832502803,recent_no_external_signal
"ROY J, 2025, ARCH TECH SCI",2025.0,ENTREPRENEURIAL MARKETING AND INNOVATION CAPABILITIES IN HIGH TECHNOLOGY STARTUPS IN EMERGING ECONOMIES,ARCHIVES FOR TECHNICAL SCIENCES,ARCH TECH SCI,10.70102/afts.2025.1834.341,leaf,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.21666666666666667,0.18946234715214627,0.31536746481647476,0.07487007981498082,recent_no_external_signal
"SIRIYOTA K, 2025, QUAL ACCESS SUCCESS",2025.0,THE SYNERGISTIC EFFECT OF ENTREPRENEURIAL ORIENTATION AND MARKET ORIENTATION ON ENTREPRENEURIAL MARKETING ORIENTATION,QUALITY - ACCESS TO SUCCESS,QUAL ACCESS SUCCESS,10.47750/QAS/26.208.24,,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.360524854404984,0.6967234270794811,0.06967234270794813,recent_no_external_signal
