journal_id,SR,year,Rank,Title,Type,Issn,eIssn,SJR,SJR Best Quartile,H index,Total Docs. (1999),Total Docs. (3years),Total Refs.,Total Citations (3years),Citable Docs. (3years),Citations / Doc. (2years),Ref. / Doc.,%Female,Overton,SDG,Country,Region,Publisher,Coverage,Categories,Areas,year.1,journal_abbr,Title_clean
21101039079.0,"LE TT, 2023, CENT EUR MANAG J",2023.0,17118.0,CENTRAL EUROPEAN MANAGEMENT JOURNAL,journal,26580845,26582430,"0,260",Q2,15.0,,84.0,1875.0,123.0,84.0,"1,81","60,48","53,49",0.0,14.0,Poland,Eastern Europe,Emerald Publishing,2020-2025,"Political Science and International Relations (Q2); Business, Management and Accounting (miscellaneous) (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)","Business, Management and Accounting; Psychology; Social Sciences",2023.0,,
21101041413.0,"PARVATIYAR A, 2021, AMS REVIEW",2021.0,3136.0,AMS REVIEW,journal,18698182,1869814X,"1,180",Q1,33.0,,77.0,2588.0,283.0,48.0,"4,05","71,89","40,91",3.0,3.0,United States,Northern America,Springer New York,2011-2025,Marketing (Q1),"Business, Management and Accounting",2021.0,,
21101045042.0,"GUIMARAES JD, 2025, FIIB BUS REV",2025.0,9576.0,FIIB BUSINESS REVIEW,journal,24552658,23197145,"0,605",Q2,22.0,,224.0,6782.0,984.0,214.0,"4,84","81,71",-,0.0,36.0,India,Asiatic Region,Sage Publications India Pvt. Ltd,2011-2025,"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)","Business, Management and Accounting",2025.0,,
21101045767.0,"HOSSAIN MS, 2022, J HOSP TOUR INSIGHTS",2022.0,7947.0,JOURNAL OF HOSPITALITY AND TOURISM INSIGHTS,journal,25149806,25149792,"0,641",Q2,33.0,,99.0,4792.0,348.0,95.0,"3,62","81,22","34,09",0.0,22.0,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2018-2025,"Tourism, Leisure and Hospitality Management (Q2)","Business, Management and Accounting",2022.0,,
21101055119.0,"POUNDER P, 2021, INT J PUBLIC LEADERS",2021.0,28806.0,INTERNATIONAL JOURNAL OF PUBLIC LEADERSHIP,journal,20564937,20564929,,-,12.0,,39.0,733.0,53.0,39.0,"1,36","52,36","37,50",0.0,6.0,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2019-2025,Public Administration,Social Sciences,2021.0,,
21101063734.0,"ABRAHAM KT, 2024, J GLOB RESPONSIB",2024.0,7658.0,JOURNAL OF GLOBAL RESPONSIBILITY,journal,20412568,20412576,"0,732",Q2,32.0,,73.0,3884.0,426.0,71.0,"6,62","79,27",-,0.0,30.0,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2010-2025,Business and International Management (Q2),"Business, Management and Accounting",2024.0,,
21101066138.0,"RASKOVIC M, 2022, J INT BUS POLICY",2022.0,1617.0,JOURNAL OF INTERNATIONAL BUSINESS POLICY,journal,25220691,25220705,"1,768",Q1,34.0,,82.0,2334.0,650.0,54.0,"8,80","86,44","39,29",8.0,12.0,United Kingdom,Western Europe,Palgrave Macmillan Ltd.,2018-2025,Business and International Management (Q1); Management of Technology and Innovation (Q1),"Business, Management and Accounting",2022.0,,
21101071183.0,"SHARMA S, 2025, JOURNAL OF ENTREPRENEURSHIP AND INNOVATION IN EMERGING ECONOMIES",2025.0,15933.0,JOURNAL OF ENTREPRENEURSHIP AND INNOVATION IN EMERGING ECONOMIES,journal,23939575,23949945,"0,323",Q2,14.0,,52.0,1281.0,89.0,42.0,"1,29","42,70",-,0.0,17.0,Singapore,Asiatic Region,Sage Publications India Pvt. Ltd,2015-2025,"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Economics and Econometrics (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences",2025.0,,
21101075550.0,"MARITZ A, 2010, SMALL ENTERP RES",2010.0,29424.0,SMALL ENTERPRISE RESEARCH,journal,11750979,13215906,,-,26.0,,25.0,687.0,12.0,24.0,"0,54","38,17","34,48",7.0,0.0,United Kingdom,Western Europe,Taylor and Francis Ltd.,"1992-1994, 1996-2008, 2010-2025","Business and International Management; Business, Management and Accounting (miscellaneous); Development; Economics, Econometrics and Finance (miscellaneous); Management of Technology and Innovation; Strategy and Management","Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences",2010.0,SMALL ENTERP RES,
21101080475.0,"GOI CL, 2021, ASIAN J BUS ETHICS",2021.0,27229.0,ASIAN JOURNAL OF BUSINESS ETHICS,journal,22106731,22106723,,-,16.0,,40.0,1334.0,37.0,40.0,"0,83","66,70","21,05",0.0,6.0,Netherlands,Western Europe,Springer Science and Business Media B.V.,2012-2025,"Business, Management and Accounting (miscellaneous); Economics, Econometrics and Finance (miscellaneous); Philosophy; Social Sciences (miscellaneous)","Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences",2021.0,,
21101089551.0,"ALRAWAD M, 2023, J RISK FINANC MANAG",2023.0,11113.0,JOURNAL OF RISK AND FINANCIAL MANAGEMENT,journal,19118074,19118066,"0,485",Q2,54.0,,1565.0,31296.0,4775.0,1523.0,"2,61","60,18","31,64",12.0,249.0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2019-2025,"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance",2023.0,,
