source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,tfidf_similarity
root_01,root_16,"MORRIS MH, 2002, J MARKET THEORY PRAC","GILMORE A, 2011, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL AND SME MARKETING,0.207716
root_11,root_16,"READ S, 2009, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,ENTREPRENEURIAL AND SME MARKETING,0.200089
root_12,root_15,"BJERKE B, 2002, ENTREPRENEURIAL MARK","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.193325
root_13,root_20,"NARVER JC, 1990, J MARKETING","ALQAHTANI N, 2022, J STRATEG MARK",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.190385
root_01,root_02,"MORRIS MH, 2002, J MARKET THEORY PRAC","COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,0.189472
root_03,root_10,"STOKES D, 2000, J RES MARKETING ENTR","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,Marketing and entrepreneurship in SMEs : an innovative approach,0.184523
root_03,root_11,"STOKES D, 2000, J RES MARKETING ENTR","READ S, 2009, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.179194
root_02,root_15,"COLLINSON E, 2001, MANAGEMENT DECISION","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.178832
root_06,root_14,"MATSUNO K, 2002, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.17451
root_16,root_17,"GILMORE A, 2011, J RES MARK ENTREP","HANSEN DJ, 2010, J RES MARK ENTREP",ENTREPRENEURIAL AND SME MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.172102
root_07,root_14,"LUMPKIN GT, 1996, ACAD MANAGE REV","KOHLI AK, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.164014
root_02,root_03,"COLLINSON E, 2001, MANAGEMENT DECISION","STOKES D, 2000, J RES MARKETING ENTR",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,0.161485
root_01,root_10,"MORRIS MH, 2002, J MARKET THEORY PRAC","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,Marketing and entrepreneurship in SMEs : an innovative approach,0.161291
root_08,root_20,"BARNEY J, 1991, J MANAGE","ALQAHTANI N, 2022, J STRATEG MARK",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.152412
root_10,root_15,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Marketing and entrepreneurship in SMEs : an innovative approach,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.151684
root_01,root_14,"MORRIS MH, 2002, J MARKET THEORY PRAC","KOHLI AK, 1990, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.147542
root_13,root_14,"NARVER JC, 1990, J MARKETING","KOHLI AK, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.143021
root_01,root_07,"MORRIS MH, 2002, J MARKET THEORY PRAC","LUMPKIN GT, 1996, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.137423
root_01,root_17,"MORRIS MH, 2002, J MARKET THEORY PRAC","HANSEN DJ, 2010, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.136865
root_15,root_17,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","HANSEN DJ, 2010, J RES MARK ENTREP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.135377
root_16,root_18,"GILMORE A, 2011, J RES MARK ENTREP","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL AND SME MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.13462
root_12,root_20,"BJERKE B, 2002, ENTREPRENEURIAL MARK","ALQAHTANI N, 2022, J STRATEG MARK",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.133139
root_03,root_12,"STOKES D, 2000, J RES MARKETING ENTR","BJERKE B, 2002, ENTREPRENEURIAL MARK",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.13252
root_02,root_16,"COLLINSON E, 2001, MANAGEMENT DECISION","GILMORE A, 2011, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,ENTREPRENEURIAL AND SME MARKETING,0.131977
root_04,root_14,"SHANE S, 2000, ACAD MANAGE REV","KOHLI AK, 1990, J MARKETING",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.125833
root_12,root_17,"BJERKE B, 2002, ENTREPRENEURIAL MARK","HANSEN DJ, 2010, J RES MARK ENTREP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.124093
root_07,root_13,"LUMPKIN GT, 1996, ACAD MANAGE REV","NARVER JC, 1990, J MARKETING",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.122476
root_05,root_20,"MILLER D, 1983, MANAGE SCI","ALQAHTANI N, 2022, J STRATEG MARK",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.121546
root_03,root_18,"STOKES D, 2000, J RES MARKETING ENTR","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.121073
root_03,root_17,"STOKES D, 2000, J RES MARKETING ENTR","HANSEN DJ, 2010, J RES MARK ENTREP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.120727
root_06,root_11,"MATSUNO K, 2002, J MARKETING","READ S, 2009, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.117798
root_01,root_12,"MORRIS MH, 2002, J MARKET THEORY PRAC","BJERKE B, 2002, ENTREPRENEURIAL MARK",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.11714
root_09,root_12,"SARASVATHY SD, 2001, ACAD MANAGE REV","BJERKE B, 2002, ENTREPRENEURIAL MARK",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.109004
root_11,root_15,"READ S, 2009, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.104466
root_10,root_17,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","HANSEN DJ, 2010, J RES MARK ENTREP",Marketing and entrepreneurship in SMEs : an innovative approach,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.10437
root_12,root_16,"BJERKE B, 2002, ENTREPRENEURIAL MARK","GILMORE A, 2011, J RES MARK ENTREP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,ENTREPRENEURIAL AND SME MARKETING,0.104174
root_14,root_16,"KOHLI AK, 1990, J MARKETING","GILMORE A, 2011, J RES MARK ENTREP","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",ENTREPRENEURIAL AND SME MARKETING,0.103888
root_10,root_12,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","BJERKE B, 2002, ENTREPRENEURIAL MARK",Marketing and entrepreneurship in SMEs : an innovative approach,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.102933
root_03,root_06,"STOKES D, 2000, J RES MARKETING ENTR","MATSUNO K, 2002, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,0.098026
root_11,root_20,"READ S, 2009, J MARKETING","ALQAHTANI N, 2022, J STRATEG MARK",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.097816
root_01,root_11,"MORRIS MH, 2002, J MARKET THEORY PRAC","READ S, 2009, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.097399
root_19,root_20,"FORNELL C, 1981, J MARKETING RES","ALQAHTANI N, 2022, J STRATEG MARK","SWISSADME: A FREE WEB TOOL TO EVALUATE PHARMACOKINETICS, DRUG-LIKENESS AND MEDICINAL CHEMISTRY FRIENDLINESS OF SMALL MOLECULES","ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.092992
root_10,root_11,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","READ S, 2009, J MARKETING",Marketing and entrepreneurship in SMEs : an innovative approach,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.092272
root_15,root_18,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.090813
root_11,root_14,"READ S, 2009, J MARKETING","KOHLI AK, 1990, J MARKETING",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.090698
root_01,root_18,"MORRIS MH, 2002, J MARKET THEORY PRAC","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.088521
root_15,root_20,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","ALQAHTANI N, 2022, J STRATEG MARK",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.087941
root_03,root_13,"STOKES D, 2000, J RES MARKETING ENTR","NARVER JC, 1990, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.086503
root_03,root_14,"STOKES D, 2000, J RES MARKETING ENTR","KOHLI AK, 1990, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.08614
root_02,root_17,"COLLINSON E, 2001, MANAGEMENT DECISION","HANSEN DJ, 2010, J RES MARK ENTREP",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.085589
root_06,root_15,"MATSUNO K, 2002, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.084108
root_05,root_12,"MILLER D, 1983, MANAGE SCI","BJERKE B, 2002, ENTREPRENEURIAL MARK",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.08295
root_11,root_13,"READ S, 2009, J MARKETING","NARVER JC, 1990, J MARKETING",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.082157
root_02,root_12,"COLLINSON E, 2001, MANAGEMENT DECISION","BJERKE B, 2002, ENTREPRENEURIAL MARK",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.080236
root_03,root_20,"STOKES D, 2000, J RES MARKETING ENTR","ALQAHTANI N, 2022, J STRATEG MARK",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,"ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.080047
root_02,root_10,"COLLINSON E, 2001, MANAGEMENT DECISION","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,Marketing and entrepreneurship in SMEs : an innovative approach,0.078268
root_11,root_17,"READ S, 2009, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.078005
root_04,root_15,"SHANE S, 2000, ACAD MANAGE REV","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.071873
root_02,root_11,"COLLINSON E, 2001, MANAGEMENT DECISION","READ S, 2009, J MARKETING",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.067833
root_14,root_15,"KOHLI AK, 1990, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.065552
root_14,root_20,"KOHLI AK, 1990, J MARKETING","ALQAHTANI N, 2022, J STRATEG MARK","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS","ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",0.065114
root_13,root_15,"NARVER JC, 1990, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.064971
root_09,root_15,"SARASVATHY SD, 2001, ACAD MANAGE REV","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.064307
root_01,root_04,"MORRIS MH, 2002, J MARKET THEORY PRAC","SHANE S, 2000, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,0.064204
root_14,root_17,"KOHLI AK, 1990, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.064134
root_13,root_17,"NARVER JC, 1990, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.063986
root_01,root_08,"MORRIS MH, 2002, J MARKET THEORY PRAC","BARNEY J, 1991, J MANAGE",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,0.062913
root_05,root_11,"MILLER D, 1983, MANAGE SCI","READ S, 2009, J MARKETING",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.062223
root_05,root_19,"MILLER D, 1983, MANAGE SCI","FORNELL C, 1981, J MARKETING RES",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,"SWISSADME: A FREE WEB TOOL TO EVALUATE PHARMACOKINETICS, DRUG-LIKENESS AND MEDICINAL CHEMISTRY FRIENDLINESS OF SMALL MOLECULES",0.058224
root_02,root_18,"COLLINSON E, 2001, MANAGEMENT DECISION","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.058016
root_06,root_17,"MATSUNO K, 2002, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.056593
root_12,root_18,"BJERKE B, 2002, ENTREPRENEURIAL MARK","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.055854
root_04,root_05,"SHANE S, 2000, ACAD MANAGE REV","MILLER D, 1983, MANAGE SCI",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,0.055841
root_02,root_06,"COLLINSON E, 2001, MANAGEMENT DECISION","MATSUNO K, 2002, J MARKETING",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,0.055715
